Date,severity_1_actual,severity_1_forecast,severity_2_actual,severity_2_forecast,severity_3_actual,severity_3_forecast,severity_4_actual,severity_4_forecast
2016-01-14,0.0,-0.14834564924240112,0.0,5.678168296813965,0.0,4.024940013885498,7.0,6.2624616622924805
2016-02-08,0.0,0.043203532695770264,42.0,32.42967987060547,17.0,16.240999221801758,1.0,1.631013035774231
2016-02-09,0.0,0.21810196340084076,33.0,41.03852081298828,20.0,20.331806182861328,6.0,7.684418678283691
2016-02-10,0.0,0.020225781947374344,30.0,29.682523727416992,13.0,12.975057601928711,6.0,6.086648941040039
2016-02-11,0.0,0.040501028299331665,66.0,59.807281494140625,21.0,20.168230056762695,6.0,5.880986213684082
2016-02-12,0.0,-0.0015787536976858974,6.0,14.172240257263184,5.0,5.02944803237915,7.0,6.56743049621582
2016-02-13,0.0,0.10967902094125748,1.0,3.288045883178711,9.0,7.301713466644287,4.0,4.134039878845215
2016-02-14,0.0,-0.048083122819662094,0.0,-1.6330852508544922,7.0,4.078969955444336,6.0,4.91141414642334
2016-02-15,1.0,0.7374150156974792,31.0,39.04764938354492,13.0,14.053610801696777,17.0,15.603713989257812
2016-02-16,0.0,-0.007166353520005941,53.0,47.47464370727539,20.0,19.93174934387207,11.0,9.639790534973145
2016-02-17,0.0,0.022462889552116394,33.0,37.285762786865234,13.0,15.655679702758789,5.0,6.590527534484863
2016-02-18,0.0,0.007719547022134066,45.0,47.441558837890625,25.0,21.811506271362305,3.0,4.801391124725342
2016-02-19,0.0,-0.012840556912124157,53.0,46.8779411315918,10.0,10.246853828430176,9.0,6.66663122177124
2016-02-20,0.0,-0.11624424159526825,1.0,-5.406131267547607,0.0,-1.9567745923995972,3.0,3.3430635929107666
2016-02-21,0.0,0.0704779326915741,2.0,0.06897459924221039,3.0,3.693756580352783,2.0,2.380764961242676
2016-02-22,0.0,0.11599618941545486,35.0,41.7827262878418,10.0,12.455127716064453,10.0,9.271432876586914
2016-02-23,0.0,-0.08250532299280167,28.0,31.599868774414062,21.0,20.251604080200195,9.0,7.990345478057861
2016-02-24,1.0,0.5861014723777771,50.0,42.264976501464844,26.0,23.951093673706055,9.0,8.981943130493164
2016-02-25,0.0,0.04299544915556908,26.0,35.928340911865234,11.0,16.0330867767334,14.0,11.385786056518555
2016-02-26,0.0,-0.040412936359643936,17.0,25.233226776123047,6.0,9.36453628540039,4.0,4.265106201171875
2016-02-27,0.0,0.13632600009441376,1.0,-0.9906114339828491,5.0,4.442678928375244,0.0,0.5742889642715454
2016-02-28,0.0,-0.0523197278380394,4.0,-1.0619760751724243,0.0,-0.555240273475647,3.0,2.6367485523223877
2016-02-29,0.0,0.09005749970674515,26.0,26.51335906982422,8.0,7.681689262390137,2.0,2.6959433555603027
2016-03-01,0.0,0.042559076100587845,40.0,42.800941467285156,15.0,12.92991828918457,0.0,3.0707290172576904
2016-03-02,0.0,-0.0316782221198082,22.0,27.71903419494629,12.0,10.71928882598877,6.0,5.882639408111572
2016-03-03,0.0,-0.07034164667129517,38.0,31.886371612548828,20.0,15.356331825256348,6.0,6.2973952293396
2016-03-04,0.0,-0.13179773092269897,33.0,27.183149337768555,15.0,13.723176956176758,10.0,8.430623054504395
2016-03-05,0.0,0.005316689144819975,1.0,-0.5047909617424011,2.0,4.3440423011779785,4.0,4.1981000900268555
2016-03-06,0.0,0.004386302549391985,1.0,0.9512600302696228,0.0,1.9505904912948608,3.0,3.074784755706787
2016-03-07,0.0,-0.024201301857829094,29.0,34.75094985961914,8.0,8.954573631286621,4.0,3.6207356452941895
2016-03-08,0.0,-0.0130003048107028,37.0,37.875831604003906,10.0,7.639381408691406,4.0,4.227180480957031
2016-03-09,0.0,-0.07051020115613937,27.0,37.73043441772461,9.0,7.211313247680664,6.0,5.720371246337891
2016-03-10,0.0,0.02987641468644142,40.0,37.56453323364258,20.0,16.27851676940918,12.0,10.042457580566406
2016-03-11,0.0,-0.035232726484537125,45.0,34.86679458618164,10.0,10.293693542480469,6.0,5.422552108764648
2016-03-12,0.0,0.17589722573757172,1.0,-5.406894207000732,6.0,8.416630744934082,3.0,3.238668203353882
2016-03-13,0.0,-0.06121388450264931,0.0,-3.4557533264160156,4.0,2.0384185314178467,5.0,5.164885997772217
2016-03-14,0.0,0.17334173619747162,38.0,45.09254455566406,6.0,10.064074516296387,1.0,3.7723658084869385
2016-03-15,0.0,-0.07177595794200897,28.0,23.22593879699707,10.0,7.6810784339904785,8.0,6.803485870361328
2016-03-16,0.0,-0.09854903817176819,27.0,32.141395568847656,10.0,13.729083061218262,7.0,6.353427886962891
2016-03-17,0.0,0.004720719065517187,39.0,38.154300689697266,7.0,8.676005363464355,7.0,6.190639019012451
2016-03-18,0.0,-0.08565566688776016,44.0,40.93151092529297,5.0,8.666565895080566,4.0,4.901508331298828
2016-03-19,0.0,0.2588568925857544,5.0,-0.2973408102989197,4.0,4.151852130889893,2.0,3.197382688522339
2016-03-20,0.0,-0.032518431544303894,1.0,-2.96903395652771,1.0,0.454717218875885,5.0,3.973193407058716
2016-03-21,0.0,0.09074979275465012,31.0,30.138870239257812,14.0,14.297019004821777,4.0,4.446223258972168
2016-03-22,0.0,-0.044121477752923965,51.0,45.356536865234375,26.0,23.3385066986084,5.0,5.59528112411499
2016-03-23,0.0,0.0009429381461814046,440.0,454.4365234375,246.0,247.83058166503906,18.0,20.042505264282227
2016-03-24,0.0,0.010181723162531853,492.0,494.8830261230469,284.0,275.3609619140625,47.0,42.41890335083008
