Start_Time,weather_mode,accident_count,Temp_avg,Humidity_avg
2016-01-14,Fair,7.0,31.0,69.0
2016-02-08,Overcast,60.0,35.23958333333333,91.57638888888889
2016-02-09,Light Snow,59.0,23.61095238095238,87.0345238095238
2016-02-10,Light Snow,49.0,17.410416666666666,78.19696969696969
2016-02-11,Mostly Cloudy,93.0,15.649187192118228,65.77118226600986
2016-02-12,Light Snow,18.0,19.583766233766237,66.66233766233766
2016-02-13,Mostly Cloudy,14.0,10.1625,57.3125
2016-02-14,Overcast,13.0,13.245,79.58333333333334
2016-02-15,Light Freezing Drizzle,62.0,26.87010582010582,91.14232804232805
2016-02-16,Overcast,84.0,32.02315789473685,91.00438596491227
2016-02-17,Overcast,51.0,30.86110248447205,81.19254658385094
2016-02-18,Clear,73.0,26.53624060150376,73.69962406015037
2016-02-19,Clear,72.0,50.57166666666667,49.33809523809524
2016-02-20,Clear,4.0,61.275,47.0
2016-02-21,Clear,7.0,49.0,83.85714285714286
2016-02-22,Clear,55.0,36.272666666666666,74.66
2016-02-23,Clear,58.0,41.781486486486486,62.63986486486486
2016-02-24,Light Rain,86.0,42.50159663865546,92.15571428571428
2016-02-25,Light Snow,51.0,32.55136363636364,85.18065268065268
2016-02-26,Overcast,27.0,32.61636363636364,55.96363636363637
2016-02-27,Clear,6.0,43.34,51.2
2016-02-28,Clear,7.0,57.785,39.45
2016-02-29,Clear,36.0,46.415,57.925
2016-03-01,Clear,55.0,45.79714285714286,78.08928571428572
2016-03-02,Overcast,40.0,29.73701298701299,54.68181818181819
2016-03-03,Light Snow,64.0,30.92827827827828,86.21171171171171
2016-03-04,Overcast,58.0,32.02043269230769,87.8329326923077
2016-03-05,Overcast,7.0,32.675,82.16666666666666
2016-03-06,Clear,4.0,39.025,79.0
2016-03-07,Clear,41.0,54.186125,49.31125
2016-03-08,Clear,51.0,62.39369230769231,44.761538461538464
2016-03-09,Clear,42.0,62.40833333333333,59.05555555555556
2016-03-10,Light Rain,72.0,58.36625,93.31661184210526
2016-03-11,Overcast,61.0,47.98537263626251,76.85706340378198
2016-03-12,Clear,10.0,50.02619047619048,72.35714285714286
2016-03-13,Overcast,9.0,58.37777777777777,89.22222222222223
2016-03-14,Overcast,45.0,59.63333333333333,88.57142857142857
2016-03-15,Overcast,46.0,57.70150537634409,81.42258064516129
2016-03-16,Overcast,44.0,60.43397435897436,55.37820512820512
2016-03-17,Clear,53.0,50.06019061583578,48.3350439882698
2016-03-18,Clear,53.0,50.439126984126986,40.42380952380952
2016-03-19,Light Rain,11.0,38.145,81.7
2016-03-20,Overcast,7.0,37.525000000000006,54.16666666666667
2016-03-21,Clear,49.0,33.67827586206897,64.45775862068966
2016-03-22,Clear,82.0,53.43008348240907,52.03905784138343
2016-03-23,Clear,704.0,63.19057096994046,39.4944355764402
2016-03-24,Clear,823.0,60.683713693628505,51.80074668596428
2016-03-25,Clear,504.0,65.34692739414606,50.02197001989202
2016-03-26,Clear,251.0,55.64224038682938,63.56475938291504
2016-03-27,Clear,263.0,60.518394922071394,66.53354880413704
2016-03-28,Clear,652.0,54.56480071652486,63.681947554361344
2016-03-29,Clear,723.0,53.72341304347826,50.21415458937198
2016-03-30,Clear,828.0,56.24485840369714,52.67274401473297
2016-03-31,Clear,678.0,60.18410450737934,60.544405664140406
2016-04-01,Clear,878.0,61.49952546296296,63.880712295367466
2016-04-02,Clear,260.0,60.5306029386928,60.17419105656167
2016-04-03,Clear,278.0,58.64376560332871,58.461719833564494
2016-04-04,Clear,739.0,56.792454291912,60.650520845748616
2016-04-05,Clear,889.0,61.23927518756699,42.83420757363254
2016-04-06,Clear,831.0,64.63383839069843,46.51734345663108
2016-04-07,Overcast,976.0,59.978702005784825,71.69800026752273
2016-04-08,Overcast,606.0,55.49855199385768,76.51902082633524
2016-04-09,Overcast,364.0,51.46159592691283,78.40840312143129
2016-04-10,Overcast,305.0,54.70524950939165,70.64269694421083
2016-04-11,Mostly Cloudy,780.0,60.02310247601763,66.06164927404718
2016-04-12,Clear,791.0,58.9513922579708,63.43771515723728
2016-04-13,Clear,766.0,58.68735953800298,58.31294709388972
2016-04-14,Clear,820.0,59.38093943189353,55.52905325923823
2016-04-15,Clear,28.0,46.912,66.39583333333334
2016-04-17,Clear,213.0,73.36185897435897,31.03205128205128
2016-04-18,Clear,881.0,73.15423693941185,32.428318902064426
2016-04-19,Clear,786.0,71.80606060606061,34.21280625402966
2016-04-20,Clear,834.0,67.8946537433155,36.12371657754011
2016-04-21,Clear,861.0,67.15601264020952,50.98882119607508
2016-04-22,Clear,927.0,63.2208668028137,65.86535562110782
2016-04-23,Clear,17.0,58.36923076923077,83.56410256410257
2016-04-24,Clear,159.0,64.67295098039216,47.48960784313725
2016-04-25,Clear,797.0,60.73443025936135,48.64943501458807
2016-04-26,Clear,817.0,61.22399369351302,57.83479009494305
2016-04-27,Clear,762.0,58.86026376588372,62.06649980747016
2016-04-28,Clear,732.0,60.31787142857142,58.11091071428572
2016-04-29,Clear,835.0,60.1137791300101,62.37039579194688
2016-04-30,Clear,156.0,57.23313620071684,68.88225806451612
2016-05-01,Clear,56.0,58.74285714285714,70.20370370370371
2016-05-02,Clear,676.0,63.892447839561,63.284370620398334
2016-05-03,Clear,613.0,64.26132518796992,65.22352756892231
2016-05-04,Clear,712.0,61.560634798525086,67.46513605442178
2016-05-05,Overcast,712.0,59.23101931692717,67.92091187668308
2016-05-06,Overcast,35.0,56.45378787878788,71.56818181818181
2016-05-08,Clear,38.0,62.32282913165266,68.88235294117646
